"id","longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","median_house_value","ocean_proximity"
1841,-122.29,37.91,38,2591,424,905,378,5.1691,263200,"NEAR BAY"
18060,-122.02,37.26,24,2411,299,847,299,10.2666,500001,"<1H OCEAN"
15762,-122.42,37.77,52,1925,568,867,515,2.879,450000,"NEAR BAY"
15042,-116.96,32.78,26,2807,630,1785,580,2.1638,132800,"<1H OCEAN"
491,-122.25,37.86,52,1389,191,514,202,7.0897,446200,"NEAR BAY"
13152,-121.53,36.85,23,3359,725,1862,651,2.6719,193600,"INLAND"
1508,-122.05,37.93,15,7803,1603,2957,1546,4.45,184900,"NEAR BAY"
14869,-117.09,32.64,19,2571,791,1205,783,1.62,131300,"NEAR OCEAN"
3878,-118.5,34.21,36,1254,229,629,245,4.9643,236100,"<1H OCEAN"
9203,-119.65,37.32,11,2161,448,820,405,2.3565,122300,"INLAND"
2192,-120.07,36.74,19,2627,502,1295,441,3.087,88200,"INLAND"
5010,-118.33,34.02,42,2043,378,869,416,3.5,181100,"<1H OCEAN"
10452,-117.67,33.46,18,1679,271,783,257,5.3999,3e+05,"<1H OCEAN"
18368,-122.01,37.18,37,3852,652,1534,567,5.8596,318700,"<1H OCEAN"
3851,-118.46,34.18,35,1819,465,1336,419,3.4583,253200,"<1H OCEAN"
17357,-120.42,34.87,18,2505,376,1162,382,4.8359,195700,"<1H OCEAN"
5262,-118.53,34.09,37,5477,833,1925,757,8.1888,500001,"<1H OCEAN"
9956,-122.18,38.35,24,407,68,175,61,6.0266,216700,"INLAND"
13525,-117.28,34.17,26,3728,888,1765,727,1.7456,86800,"INLAND"
11494,-117.99,33.69,12,2480,858,1441,788,1.6705,350000,"<1H OCEAN"
1977,-120.59,38.53,15,432,87,208,73,3.6125,1e+05,"INLAND"
3206,-119.62,36.35,10,3674,734,1864,718,2.6145,80300,"INLAND"
6087,-117.87,34.08,33,3630,800,2257,796,3.2469,206900,"<1H OCEAN"
16751,-122.46,37.71,44,364,102,339,98,2.483,214300,"NEAR OCEAN"
8529,-118.34,33.89,36,2274,411,1232,423,5.373,244500,"<1H OCEAN"
6013,-117.78,34.07,18,3610,772,2899,765,3.9784,113500,"INLAND"
17555,-121.88,37.33,35,3300,1154,3120,1075,1.473,213600,"<1H OCEAN"
17681,-121.84,37.32,16,1866,364,1835,412,5.3363,212800,"<1H OCEAN"
12962,-121.3,38.72,15,2514,482,1166,503,2.2813,131900,"INLAND"
16652,-120.66,35.29,39,2163,652,1153,599,2.084,233300,"NEAR OCEAN"
19462,-120.99,37.69,25,2773,384,1060,381,6.4788,199400,"INLAND"
11271,-117.99,33.78,15,4273,993,2300,946,3.5313,213000,"<1H OCEAN"
9012,-118.66,34.1,12,2560,365,907,366,10.076,500001,"NEAR OCEAN"
7200,-118.18,34.03,40,2631,698,2920,677,2.0764,145600,"<1H OCEAN"
11148,-117.98,33.84,35,984,179,661,199,5.0747,189600,"<1H OCEAN"
3038,-119.12,35.38,18,1521,269,706,279,4.4196,121000,"INLAND"
6733,-118.1,34.13,44,1745,237,693,248,9.7912,500001,"<1H OCEAN"
9776,-121.24,36.33,13,1642,418,1534,388,3.1222,125500,"<1H OCEAN"
18563,-122.04,37,52,3365,644,796,333,2.9712,116600,"NEAR OCEAN"
18484,-121.62,37.09,37,1593,303,1030,287,3.9306,260700,"<1H OCEAN"
15857,-122.38,37.76,52,248,68,124,51,1.4886,450000,"NEAR BAY"
5019,-118.33,34,24,873,320,529,308,0.9304,151600,"<1H OCEAN"
7716,-118.12,33.94,35,1813,313,825,316,5.2485,323800,"<1H OCEAN"
18612,-122.05,37.11,39,1065,248,497,208,4.5972,146300,"NEAR OCEAN"
18358,-122.1,37.36,32,1433,199,498,201,9.3586,500001,"NEAR BAY"
6747,-118.08,34.12,27,1685,341,757,317,4.2434,270500,"<1H OCEAN"
10659,-117.83,33.66,16,1574,385,515,363,5.3423,291700,"<1H OCEAN"
10864,-117.88,33.71,27,1596,297,1703,289,4.1,184900,"<1H OCEAN"
18116,-122.02,37.3,26,1983,301,924,297,6.7123,354600,"<1H OCEAN"
17840,-121.9,37.44,9,957,139,532,142,8.6675,441000,"<1H OCEAN"
2737,-115.57,32.79,50,1291,277,864,274,1.6667,68100,"INLAND"
15760,-122.44,37.77,52,2994,736,1428,700,3.0766,438900,"NEAR BAY"
7192,-118.18,34.04,42,1670,NA,1997,452,2.788,150500,"<1H OCEAN"
4615,-118.29,34.08,43,3056,1345,3920,1304,1.925,3e+05,"<1H OCEAN"
19411,-120.94,37.7,25,1005,159,390,139,4.4,174100,"INLAND"
6756,-118.1,34.11,49,3367,523,1317,495,6.706,351400,"<1H OCEAN"
10588,-117.77,33.69,14,1413,372,744,338,3.7988,184100,"<1H OCEAN"
5210,-118.27,33.93,38,2073,500,1657,470,1.2098,88400,"<1H OCEAN"
12557,-121.47,38.55,24,979,287,546,291,1.186,67000,"INLAND"
19341,-122.87,38.61,23,2676,521,1456,500,3.7361,173700,"<1H OCEAN"
7746,-118.15,33.93,42,1839,346,1034,339,4.9808,212300,"<1H OCEAN"
5851,-118.32,34.18,49,192,41,83,38,3.0179,118800,"<1H OCEAN"
11725,-120.04,39.24,30,2369,469,510,213,2.65,123800,"INLAND"
15976,-122.45,37.77,52,2602,NA,1330,647,3.5435,278600,"NEAR BAY"
7788,-118.06,33.9,37,1161,254,882,236,4.4167,158000,"<1H OCEAN"
16534,-121.18,37.79,16,1326,286,509,297,1.9464,112500,"INLAND"
3032,-119.42,35.4,24,2585,480,1442,424,2.8452,104700,"INLAND"
16458,-121.29,38.13,20,3168,514,1390,490,5,154800,"INLAND"
944,-122.01,37.53,19,4572,712,2346,709,6.0667,245700,"NEAR BAY"
10725,-117.8,33.63,15,3236,451,1289,416,11.1121,493000,"<1H OCEAN"
17909,-121.97,37.35,36,815,126,353,122,6.3191,258300,"<1H OCEAN"
1778,-122.35,37.94,45,2112,493,1406,452,2.3456,105200,"NEAR BAY"
11331,-117.95,33.76,24,3956,812,3196,795,4.3512,191400,"<1H OCEAN"
628,-122.18,37.7,35,2562,554,1398,525,3.3906,178900,"NEAR BAY"
13041,-121.16,38.68,21,3517,667,1687,655,3.1161,131600,"INLAND"
17276,-119.69,34.38,39,1383,459,677,362,2.25,281300,"NEAR OCEAN"
14477,-117.21,32.86,26,1352,202,654,217,5.3693,260700,"NEAR OCEAN"
646,-122.13,37.72,26,2862,394,1030,397,7.912,367300,"NEAR BAY"
6925,-118.07,34.01,38,2245,444,1540,419,3.7986,171000,"<1H OCEAN"
8078,-118.19,33.82,19,2953,895,1914,855,3.5521,290000,"NEAR OCEAN"
386,-122.29,37.9,49,1283,238,576,236,3.3333,276800,"NEAR BAY"
12298,-116.9,33.93,34,3183,738,1820,647,2.2321,71800,"INLAND"
17837,-121.86,37.41,16,2411,420,1671,442,6.5004,263600,"<1H OCEAN"
13871,-117.32,34.41,13,2032,348,1038,344,4.2891,120100,"INLAND"
11533,-118.09,33.77,26,5359,1508,1829,1393,1.7675,61300,"<1H OCEAN"
4154,-118.2,34.11,52,678,173,791,186,4.0625,171300,"<1H OCEAN"
17067,-122.22,37.48,34,1541,584,1564,558,2.56,250000,"NEAR OCEAN"
5115,-118.3,33.96,43,2009,442,1095,439,2.8299,109500,"<1H OCEAN"
14478,-117.21,32.85,15,2593,521,901,456,4.2065,277800,"NEAR OCEAN"
13289,-117.66,34.07,37,2454,511,1165,504,2.9474,139600,"INLAND"
15426,-117.27,33.19,8,973,289,663,209,2.724,139300,"NEAR OCEAN"
180,-122.24,37.8,52,1803,420,1321,401,2.957,122800,"NEAR BAY"
10994,-117.82,33.73,23,2542,772,1720,675,3.8703,137000,"<1H OCEAN"
17535,-121.88,37.34,52,1390,365,921,352,2.1442,188900,"<1H OCEAN"
17844,-121.87,37.43,22,3805,596,2118,621,6.2892,254200,"<1H OCEAN"
19841,-119.26,36.5,35,1689,371,1475,329,2.5719,74300,"INLAND"
6561,-118.13,34.19,48,2539,425,930,364,4.7269,303900,"INLAND"
11687,-117.99,33.88,15,2298,567,1261,527,4.2422,159400,"<1H OCEAN"
17608,-121.9,37.29,26,1797,244,626,244,7.8575,424600,"<1H OCEAN"
15851,-122.44,37.74,23,184,44,118,40,4.5375,350000,"NEAR BAY"
4770,-118.35,34.04,41,1617,423,1110,375,2.4635,169400,"<1H OCEAN"
18122,-122.01,37.31,26,1391,241,700,236,6.6766,332700,"<1H OCEAN"
6432,-118.01,34.13,38,3374,671,1906,640,4.0729,212300,"INLAND"
3724,-118.42,34.19,33,3285,830,2281,786,2.6165,230800,"<1H OCEAN"
18737,-122.37,40.52,18,4547,774,2269,766,3.7896,98100,"INLAND"
7452,-118.17,33.94,17,1145,209,499,202,4.6389,165500,"<1H OCEAN"
7266,-118.22,33.99,6,1499,437,1754,447,4.3164,143200,"<1H OCEAN"
10289,-117.84,33.89,19,3544,542,1787,560,6.7837,264300,"<1H OCEAN"
7767,-118.11,33.91,22,1981,472,1231,457,4.0878,153700,"<1H OCEAN"
20410,-118.86,34.2,32,2399,384,1199,390,4.125,264600,"<1H OCEAN"
10013,-121.08,39.18,19,2323,397,963,379,3.7426,162700,"INLAND"
14224,-117.03,32.67,15,5094,818,2118,758,5.3505,266600,"NEAR OCEAN"
15446,-117.25,33.19,18,1891,306,830,279,4.5764,207000,"<1H OCEAN"
1982,-120.84,38.63,12,1313,231,731,232,5.7373,208300,"INLAND"
15562,-117.03,33.13,15,7000,1185,3555,1118,4.7022,172800,"<1H OCEAN"
11019,-117.8,33.77,29,5436,707,2046,685,8.7496,349500,"<1H OCEAN"
11419,-117.96,33.7,23,2622,445,1103,407,4.725,289600,"<1H OCEAN"
2603,-123.52,41.01,17,1564,345,517,222,2.1542,83800,"INLAND"
903,-121.98,37.53,28,2829,566,1610,540,4.6,223200,"<1H OCEAN"
1885,-119.99,38.93,23,1882,414,673,277,2.9091,141900,"INLAND"
4584,-118.27,34.06,25,1714,1176,3723,1036,1.3241,112500,"<1H OCEAN"
11188,-117.95,33.83,36,1380,237,690,234,3.8214,210900,"<1H OCEAN"
1119,-121.57,39.8,23,790,137,365,152,2.1912,115200,"INLAND"
17803,-121.81,37.36,20,3189,420,1234,389,7.5813,374100,"<1H OCEAN"
932,-122.04,37.54,26,2145,369,1285,377,4.9464,223800,"NEAR BAY"
5571,-118.29,33.89,35,2810,614,1578,601,3.59,200600,"<1H OCEAN"
9714,-121.67,36.67,24,3071,544,1477,560,3.9219,222500,"<1H OCEAN"
10700,-117.75,33.61,16,2270,488,709,489,3.2845,227600,"<1H OCEAN"
3632,-118.43,34.23,35,2049,390,1286,385,4.4432,181500,"<1H OCEAN"
1935,-121.02,38.66,4,7392,1155,3096,1065,4.5246,198900,"INLAND"
11408,-117.96,33.71,19,1624,221,782,228,4.5962,304500,"<1H OCEAN"
16690,-120.59,35.11,20,3098,571,1449,611,3.5744,197800,"<1H OCEAN"
20591,-121.59,39.14,41,1492,350,804,353,1.684,71300,"INLAND"
11047,-117.82,33.81,25,2662,402,1247,401,5.4395,244000,"<1H OCEAN"
17757,-121.81,37.35,29,2396,452,2000,481,4.375,185500,"<1H OCEAN"
7216,-118.17,34.02,39,759,215,883,226,2.125,143800,"<1H OCEAN"
18034,-121.94,37.24,26,2561,388,1165,393,7.3522,363800,"<1H OCEAN"
3396,-118.3,34.26,40,1065,214,605,183,4.1964,185900,"<1H OCEAN"
14476,-117.21,32.86,24,3596,494,1573,492,6.5382,326000,"NEAR OCEAN"
1677,-122.26,38.04,41,2512,539,1179,480,2.694,123000,"NEAR BAY"
14939,-117.02,32.64,5,260,41,157,42,6.5151,281700,"NEAR OCEAN"
10969,-117.87,33.77,52,2512,356,978,365,8.0784,320300,"<1H OCEAN"
8431,-118.36,33.92,19,2807,883,1546,815,2.6375,233800,"<1H OCEAN"
2267,-119.82,36.79,35,1474,291,709,294,2.6522,65900,"INLAND"
18743,-122.34,40.57,26,2187,472,1339,463,2.0395,67900,"INLAND"
6896,-118.11,34.04,28,3913,696,2264,697,5.2446,258000,"<1H OCEAN"
11406,-117.96,33.71,19,4328,849,2243,808,5.5702,342600,"<1H OCEAN"
20512,-121.54,38.59,40,2120,504,1304,464,2.0368,67800,"INLAND"
14931,-117.02,32.66,19,771,NA,376,108,6.6272,273600,"NEAR OCEAN"
1079,-121.78,39.71,8,140,28,84,29,2.125,179200,"INLAND"
3890,-118.56,34.22,35,1843,329,1041,317,4.4271,205100,"<1H OCEAN"
1861,-124.16,41.92,19,1668,324,841,283,2.1336,75000,"NEAR OCEAN"
16865,-122.4,37.62,44,1619,362,1064,335,4.0238,224200,"NEAR OCEAN"
18769,-122.24,40.51,23,2216,378,1006,338,4.559,116800,"INLAND"
6179,-117.91,34.08,35,1443,266,861,262,3.5795,186900,"<1H OCEAN"
9419,-122.49,37.85,38,240,29,63,34,12.2547,500001,"NEAR BAY"
12379,-116.46,33.78,25,1137,414,604,240,1.3801,55000,"INLAND"
18301,-122.13,37.41,36,4787,900,2039,890,5.4063,440900,"NEAR BAY"
2078,-119.81,36.76,48,2059,388,834,405,2.9306,67900,"INLAND"
15101,-116.95,32.82,18,3038,592,1904,595,3.8024,144900,"<1H OCEAN"
15129,-116.91,32.87,14,3048,597,1690,576,4.3818,147100,"<1H OCEAN"
1207,-121.71,39.41,22,1814,342,941,323,2.1728,59400,"INLAND"
7329,-118.17,33.97,33,2410,641,2106,593,2.2422,168200,"<1H OCEAN"
13778,-117.08,34.02,20,3111,563,1453,538,3.3365,122800,"INLAND"
6036,-117.72,34.06,32,2209,654,1718,569,1.9643,113200,"INLAND"
9516,-123.2,39.16,14,1908,484,1195,467,1.7929,82300,"<1H OCEAN"
9905,-122.27,38.32,31,1267,319,545,297,1.9946,206800,"NEAR BAY"
19378,-120.76,37.73,16,1343,241,732,195,3.5833,187500,"INLAND"
16968,-122.31,37.54,49,1340,281,660,284,4.163,393800,"NEAR OCEAN"
4548,-118.2,34.02,42,498,120,548,119,3.7543,126600,"<1H OCEAN"
4500,-118.21,34.05,28,1079,306,1358,285,2.52,131900,"<1H OCEAN"
1597,-122.1,37.89,21,3282,653,1398,601,5.2079,310300,"NEAR BAY"
14551,-117.24,32.94,12,2165,437,792,386,5.2648,294400,"NEAR OCEAN"
8444,-118.36,33.9,40,1271,276,725,234,5.0452,231900,"<1H OCEAN"
365,-122.14,37.75,33,1334,200,579,202,6.8323,255900,"NEAR BAY"
14194,-117.06,32.7,12,3943,737,3280,751,4.112,141400,"NEAR OCEAN"
10303,-117.8,33.89,25,3121,381,1278,389,7.0217,357900,"<1H OCEAN"
5023,-118.33,33.99,46,1582,315,777,286,3.2083,149600,"<1H OCEAN"
10820,-117.92,33.64,5,949,287,497,244,2.75,225000,"<1H OCEAN"
2060,-119.68,36.63,39,1237,256,638,239,3.0139,65300,"INLAND"
14226,-117.05,32.69,14,1689,555,1319,527,3.16,143800,"NEAR OCEAN"
15284,-117.33,33.17,11,10923,2041,4773,1858,4.0791,281300,"NEAR OCEAN"
5958,-117.87,34.13,29,1677,413,873,400,3.12,194300,"<1H OCEAN"
15484,-117.15,33.14,15,1070,208,470,217,2.3062,158900,"<1H OCEAN"
2623,-124.1,40.95,17,1485,345,823,316,1.8993,78400,"NEAR OCEAN"
5814,-118.26,34.14,23,1336,396,1255,359,2.5388,205000,"<1H OCEAN"
16300,-121.25,37.92,19,2109,427,1742,426,2.4097,66000,"INLAND"
14130,-117.09,32.75,20,1701,503,1482,465,1.6789,95500,"NEAR OCEAN"
17317,-120.2,34.63,14,2647,515,1487,488,4.4519,227900,"NEAR OCEAN"
3989,-118.65,34.18,27,1793,339,1016,326,4.925,240300,"<1H OCEAN"
17749,-121.75,37.29,15,1486,310,455,296,4.3365,221000,"<1H OCEAN"
11068,-117.9,33.78,25,10336,2596,7111,2419,3.3627,197900,"<1H OCEAN"
502,-122.27,37.85,52,335,83,152,77,2.2841,106300,"NEAR BAY"
12122,-117.28,33.92,35,3623,841,2721,766,2.1574,86900,"INLAND"
3658,-118.4,34.21,30,2453,544,1753,506,2.9803,191500,"<1H OCEAN"
9881,-121.79,36.64,11,32627,6445,28566,6082,2.3087,118800,"<1H OCEAN"
18765,-122.31,40.75,18,1411,330,494,227,1.4911,75800,"INLAND"
5303,-118.46,34.06,46,1302,215,482,226,7.0674,500001,"<1H OCEAN"
13024,-121.23,38.67,27,5266,971,2432,948,3.8954,133000,"INLAND"
4788,-118.32,34.02,52,2511,587,1660,546,2.6098,127100,"<1H OCEAN"
8686,-118.31,33.86,29,2243,361,1051,352,6.6632,325200,"<1H OCEAN"
3672,-118.41,34.21,35,2830,518,1577,524,5.35,210500,"<1H OCEAN"
1555,-121.98,37.8,16,2498,330,1027,343,8.155,343700,"<1H OCEAN"
5229,-118.24,33.94,37,869,241,1040,233,2,84200,"<1H OCEAN"
1549,-121.94,37.75,17,2559,370,1238,377,6.2781,269800,"<1H OCEAN"
18849,-122.37,41.41,28,1729,419,929,370,1.27,53100,"INLAND"
12632,-121.5,38.49,32,4013,725,2032,675,3.3689,83400,"INLAND"
20500,-118.71,34.3,23,1983,280,978,287,6.3199,236700,"<1H OCEAN"
11340,-117.93,33.76,24,3202,703,3308,714,4.1577,174100,"<1H OCEAN"
10429,-117.64,33.45,26,1528,NA,607,218,6.2871,325500,"NEAR OCEAN"
10662,-117.81,33.66,16,1414,191,635,230,10.0757,383900,"<1H OCEAN"
7831,-118.15,33.91,38,901,205,760,208,2.9643,147400,"<1H OCEAN"
11851,-121.14,39.86,16,2534,557,638,244,2.2101,88800,"INLAND"
7764,-118.1,33.91,36,726,NA,490,130,3.6389,167600,"<1H OCEAN"
7422,-118.2,33.96,41,1512,400,1690,367,3.055,167000,"<1H OCEAN"
15912,-122.42,37.75,52,2163,607,1447,546,3.3555,275000,"NEAR BAY"
19247,-122.73,38.46,14,4042,1298,2323,1158,2.0651,135400,"<1H OCEAN"
5761,-118.29,34.17,52,1732,305,875,311,4.325,292600,"<1H OCEAN"
18821,-120.24,39.67,52,296,63,143,56,3.625,68600,"INLAND"
18401,-121.84,37.25,25,5939,989,3275,954,5.6488,234600,"<1H OCEAN"
